model,dataset,bce_f1_mean,bce_f1_std,bce_n_seeds,cbfocal_f1_mean,cbfocal_f1_std,cbfocal_n_seeds,delta_cbfocal_minus_bce
NatGen,Juliet,0.8998,0.0032,3,0.8997,0.0028,3,-0.0001
LineVul,Juliet,0.8958,0.0045,3,0.894,0.0082,3,-0.0018
Gradient Boosting,Juliet,0.8966,0.0017,3,0.8966,0.0017,3,0.0
CodeBERT,PrimeVul,0.0402,0.0697,3,0.199,0.0247,3,0.1588
CodeT5,PrimeVul,0.2387,0.0128,3,0.2413,0.0103,3,0.0026
CodeT5-Full,PrimeVul,0.1396,0.0607,3,0.2239,0.0113,3,0.0843
GraphCodeBERT,PrimeVul,0.1434,0.1242,3,0.2283,0.0129,3,0.0849
NatGen,PrimeVul,0.1226,0.0258,3,0.2302,0.0224,3,0.1076
LineVul,PrimeVul,0.0,0.0,3,0.121,0.0825,3,0.121
Gradient Boosting,PrimeVul,0.1763,0.0047,3,0.1763,0.0047,3,0.0
CodeBERT,Reveal,0.3445,0.1506,6,0.3397,0.1393,6,-0.0048
CodeT5,Reveal,0.3306,0.1452,6,0.339,0.1539,6,0.0084
CodeT5-Full,Reveal,0.3427,0.1537,6,0.3299,0.1523,6,-0.0128
GraphCodeBERT,Reveal,0.3482,0.1514,6,0.3491,0.1533,6,0.0009
NatGen,Reveal,0.3461,0.1472,6,0.3434,0.1523,6,-0.0027
LineVul,Reveal,0.2231,0.1321,6,0.3217,0.1375,6,0.0986
Gradient Boosting,Reveal,0.4483,0.0202,3,0.4483,0.0202,3,0.0
CodeBERT,VulDeepecker,0.9587,0.0015,3,0.9577,0.0011,3,-0.001
CodeT5,VulDeepecker,0.9548,0.0019,3,0.9561,0.002,3,0.0013
CodeT5-Full,VulDeepecker,0.9578,0.0032,3,0.9566,0.0009,3,-0.0012
GraphCodeBERT,VulDeepecker,0.9576,0.0009,3,0.9558,0.0013,3,-0.0018
NatGen,VulDeepecker,0.9554,0.0015,3,0.9572,0.0014,3,0.0018
LineVul,VulDeepecker,0.9251,0.0024,3,0.9262,0.0031,3,0.0011
Gradient Boosting,VulDeepecker,0.9548,0.0051,3,0.9548,0.0051,3,0.0
CodeBERT,BigVul (dedup),0.2729,0.1421,3,0.3015,0.1673,3,0.0286
CodeBERT,MVDSC Mixed,0.8597,0.0054,3,0.8643,0.0063,3,0.0046
CodeT5,MVDSC Mixed,0.8656,0.0126,3,0.8726,0.0084,3,0.007
CodeT5,BigVul (dedup),0.4035,0.0098,3,0.4263,0.0052,3,0.0228
CodeT5-Full,MVDSC Mixed,0.8925,0.0104,3,0.877,0.018,3,-0.0155
CodeT5-Full,BigVul (dedup),0.394,0.0192,3,0.4102,0.0206,3,0.0162
GraphCodeBERT,MVDSC Mixed,0.8758,0.0135,3,0.8856,0.0128,3,0.0098
GraphCodeBERT,BigVul (dedup),0.3687,0.0105,3,0.4117,0.0123,3,0.043
NatGen,MVDSC Mixed,0.879,0.0118,3,0.8743,0.0073,3,-0.0047
NatGen,BigVul (dedup),0.3903,0.0129,3,0.4123,0.0038,3,0.022
LineVul,MVDSC Mixed,0.7887,0.0187,3,0.7941,0.0108,3,0.0054
LineVul,BigVul (dedup),0.1444,0.1233,3,0.2567,0.0296,3,0.1123
Gradient Boosting,MVDSC Mixed,0.8515,0.0141,3,0.8515,0.0141,3,0.0
Gradient Boosting,BigVul (dedup),0.3414,0.0078,3,0.3414,0.0078,3,0.0
