model,dataset,config,n_seeds,default_f1_mean,default_f1_std,optimal_f1_mean,optimal_f1_std,delta_f1_mean,delta_f1_std,optimal_threshold_mean,optimal_threshold_std
NatGen,DiverseVul,cb_focal/f1,3,0.2516,0.0135,0.3242,0.0053,0.0726,0.0084,0.313,0.061
LineVul,DiverseVul,bce/acc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
LineVul,DiverseVul,cb_focal/f1,3,0.0361,0.0626,0.0865,0.0381,0.0503,0.0546,0.1,0.0
Gradient Boosting,DiverseVul,bce/acc,3,0.1345,0.0033,0.2852,0.0062,0.1507,0.0088,0.127,0.012
Gradient Boosting,DiverseVul,cb_focal/f1,3,0.1345,0.0033,0.2852,0.0062,0.1507,0.0088,0.127,0.012
CodeBERT,Draper,bce/acc,3,0.3326,0.2881,0.3765,0.3256,0.0439,0.0379,0.133,0.031
CodeBERT,Draper,cb_focal/f1,3,0.5234,0.0323,0.5738,0.0066,0.0504,0.0318,0.4,0.02
CodeT5,Draper,bce/acc,3,0.5586,0.0095,0.5986,0.0104,0.04,0.0107,0.153,0.046
CodeT5,Draper,cb_focal/f1,3,0.5795,0.0054,0.603,0.0011,0.0235,0.0062,0.413,0.031
CodeT5-Full,Draper,bce/acc,3,0.5619,0.0123,0.6014,0.0085,0.0396,0.014,0.107,0.012
CodeT5-Full,Draper,cb_focal/f1,3,0.5809,0.01,0.5996,0.0108,0.0187,0.0085,0.387,0.05
GraphCodeBERT,Draper,bce/acc,3,0.508,0.0044,0.5617,0.0151,0.0537,0.0151,0.16,0.035
GraphCodeBERT,Draper,cb_focal/f1,3,0.5567,0.0265,0.5797,0.0096,0.023,0.0237,0.433,0.042
NatGen,Draper,bce/acc,3,0.564,0.0199,0.6021,0.0041,0.0381,0.0198,0.1,0.0
NatGen,Draper,cb_focal/f1,3,0.5778,0.0076,0.6045,0.0112,0.0267,0.005,0.393,0.046
LineVul,Draper,bce/acc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
LineVul,Draper,cb_focal/f1,3,0.0008,0.0014,0.2221,0.1743,0.2213,0.175,0.1,0.0
Gradient Boosting,Draper,bce/acc,3,0.2953,0.0105,0.4857,0.0041,0.1903,0.0064,0.22,0.035
Gradient Boosting,Draper,cb_focal/f1,3,0.2953,0.0105,0.4857,0.0041,0.1903,0.0064,0.22,0.035
CodeBERT,ICVul,bce/acc,3,0.0035,0.0035,0.5854,0.0023,0.5818,0.0042,0.327,0.095
CodeBERT,ICVul,cb_focal/f1,3,0.5537,0.0289,0.5857,0.0025,0.032,0.0307,0.473,0.031
CodeT5,ICVul,bce/acc,3,0.0498,0.0477,0.5873,0.0042,0.5375,0.0437,0.267,0.042
CodeT5,ICVul,cb_focal/f1,3,0.4257,0.0356,0.5888,0.0011,0.1631,0.0354,0.407,0.042
CodeT5-Full,ICVul,bce/acc,3,0.094,0.0857,0.5826,0.0004,0.4886,0.0853,0.247,0.05
CodeT5-Full,ICVul,cb_focal/f1,3,0.5119,0.1029,0.5839,0.0032,0.072,0.1031,0.413,0.031
GraphCodeBERT,ICVul,bce/acc,3,0.0161,0.0196,0.585,0.005,0.5689,0.0148,0.247,0.127
GraphCodeBERT,ICVul,cb_focal/f1,3,0.5452,0.033,0.5868,0.0035,0.0416,0.0346,0.46,0.0
NatGen,ICVul,bce/acc,3,0.0462,0.0481,0.5857,0.0033,0.5395,0.0453,0.187,0.031
NatGen,ICVul,cb_focal/f1,3,0.5108,0.0394,0.5824,0.0016,0.0716,0.04,0.42,0.0
LineVul,ICVul,bce/acc,3,0.0,0.0,0.5799,0.0,0.5799,0.0,0.1,0.0
LineVul,ICVul,cb_focal/f1,3,0.5799,0.0,0.5799,0.0,0.0,0.0,0.1,0.0
Gradient Boosting,ICVul,bce/acc,3,0.1256,0.0076,0.5835,0.0006,0.4579,0.0079,0.173,0.012
Gradient Boosting,ICVul,cb_focal/f1,3,0.1256,0.0076,0.5835,0.0006,0.4579,0.0079,0.173,0.012
CodeBERT,Juliet,bce/acc,3,0.8919,0.0006,0.8966,0.0023,0.0046,0.0024,0.433,0.042
CodeBERT,Juliet,cb_focal/f1,3,0.8969,0.0048,0.8983,0.0026,0.0013,0.0023,0.493,0.012
CodeT5,Juliet,bce/acc,3,0.8982,0.0046,0.8996,0.0029,0.0015,0.0017,0.433,0.042
CodeT5,Juliet,cb_focal/f1,3,0.8955,0.0036,0.8993,0.003,0.0038,0.0007,0.473,0.012
CodeT5-Full,Juliet,bce/acc,3,0.8908,0.0043,0.8975,0.0025,0.0068,0.0048,0.34,0.035
CodeT5-Full,Juliet,cb_focal/f1,3,0.8946,0.0016,0.8994,0.003,0.0048,0.0037,0.48,0.0
GraphCodeBERT,Juliet,bce/acc,3,0.897,0.0023,0.8987,0.003,0.0017,0.0019,0.44,0.04
GraphCodeBERT,Juliet,cb_focal/f1,3,0.8975,0.0026,0.8986,0.0027,0.0011,0.0019,0.493,0.012
NatGen,Juliet,bce/acc,3,0.8931,0.0078,0.8998,0.0032,0.0067,0.0052,0.387,0.058
NatGen,Juliet,cb_focal/f1,3,0.8978,0.0028,0.8997,0.0028,0.0019,0.0033,0.487,0.023
LineVul,Juliet,bce/acc,3,0.8863,0.0109,0.8958,0.0045,0.0096,0.0091,0.333,0.337
LineVul,Juliet,cb_focal/f1,3,0.8933,0.0078,0.894,0.0082,0.0007,0.0006,0.54,0.08
Gradient Boosting,Juliet,bce/acc,3,0.8804,0.0033,0.8966,0.0017,0.0162,0.005,0.38,0.02
Gradient Boosting,Juliet,cb_focal/f1,3,0.8804,0.0033,0.8966,0.0017,0.0162,0.005,0.38,0.02
CodeBERT,MVDSC Mixed,bce/acc,3,0.849,0.0152,0.8597,0.0054,0.0107,0.0103,0.433,0.09
CodeBERT,MVDSC Mixed,cb_focal/f1,3,0.8508,0.0119,0.8643,0.0063,0.0135,0.0096,0.48,0.104
CodeT5,MVDSC Mixed,bce/acc,3,0.853,0.0166,0.8656,0.0126,0.0125,0.0088,0.307,0.136
CodeT5,MVDSC Mixed,cb_focal/f1,3,0.8636,0.0165,0.8726,0.0084,0.009,0.0097,0.507,0.058
CodeT5-Full,MVDSC Mixed,bce/acc,3,0.8881,0.0114,0.8925,0.0104,0.0044,0.0019,0.287,0.114
CodeT5-Full,MVDSC Mixed,cb_focal/f1,3,0.8694,0.0166,0.877,0.018,0.0076,0.0015,0.56,0.035
GraphCodeBERT,MVDSC Mixed,bce/acc,3,0.8628,0.0091,0.8758,0.0135,0.0131,0.0057,0.4,0.035
GraphCodeBERT,MVDSC Mixed,cb_focal/f1,3,0.8816,0.0157,0.8856,0.0128,0.004,0.0039,0.527,0.031
NatGen,MVDSC Mixed,bce/acc,3,0.8718,0.013,0.879,0.0118,0.0071,0.0046,0.387,0.15
NatGen,MVDSC Mixed,cb_focal/f1,3,0.8701,0.0081,0.8743,0.0073,0.0042,0.0027,0.52,0.08
LineVul,MVDSC Mixed,bce/acc,3,0.7679,0.024,0.7887,0.0187,0.0207,0.0077,0.247,0.101
LineVul,MVDSC Mixed,cb_focal/f1,3,0.7916,0.0126,0.7941,0.0108,0.0024,0.003,0.48,0.151
Gradient Boosting,MVDSC Mixed,bce/acc,3,0.8474,0.0113,0.8515,0.0141,0.0041,0.0028,0.453,0.07
Gradient Boosting,MVDSC Mixed,cb_focal/f1,3,0.8474,0.0113,0.8515,0.0141,0.0041,0.0028,0.453,0.07
CodeBERT,PrimeVul,bce/acc,3,0.0,0.0,0.0402,0.0697,0.0402,0.0697,0.1,0.0
CodeBERT,PrimeVul,cb_focal/f1,3,0.0732,0.101,0.199,0.0247,0.1259,0.0764,0.407,0.05
CodeT5,PrimeVul,bce/acc,3,0.0011,0.0019,0.2387,0.0128,0.2376,0.0116,0.12,0.035
CodeT5,PrimeVul,cb_focal/f1,3,0.2104,0.0139,0.2413,0.0103,0.0309,0.0042,0.46,0.02
CodeT5-Full,PrimeVul,bce/acc,3,0.0033,0.0033,0.1396,0.0607,0.1363,0.0596,0.1,0.0
CodeT5-Full,PrimeVul,cb_focal/f1,3,0.2002,0.0255,0.2239,0.0113,0.0237,0.0147,0.407,0.012
GraphCodeBERT,PrimeVul,bce/acc,3,0.0,0.0,0.1434,0.1242,0.1434,0.1242,0.127,0.046
GraphCodeBERT,PrimeVul,cb_focal/f1,3,0.166,0.046,0.2283,0.0129,0.0623,0.0331,0.38,0.053
NatGen,PrimeVul,bce/acc,3,0.0065,0.0086,0.1226,0.0258,0.1161,0.0254,0.1,0.0
NatGen,PrimeVul,cb_focal/f1,3,0.2072,0.0282,0.2302,0.0224,0.023,0.0123,0.427,0.046
LineVul,PrimeVul,bce/acc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
LineVul,PrimeVul,cb_focal/f1,3,0.0,0.0,0.121,0.0825,0.121,0.0825,0.107,0.012
Gradient Boosting,PrimeVul,bce/acc,3,0.0605,0.0166,0.1763,0.0047,0.1158,0.0212,0.133,0.031
Gradient Boosting,PrimeVul,cb_focal/f1,3,0.0605,0.0166,0.1763,0.0047,0.1158,0.0212,0.133,0.031
CodeBERT,Reveal,bce/acc,6,0.2687,0.155,0.3445,0.1506,0.0758,0.0346,0.23,0.091
CodeBERT,Reveal,cb_focal/f1,6,0.3328,0.1369,0.3397,0.1393,0.0069,0.0067,0.533,0.033
CodeT5,Reveal,bce/acc,6,0.1792,0.1115,0.3306,0.1452,0.1514,0.1639,0.243,0.159
CodeT5,Reveal,cb_focal/f1,6,0.3171,0.1473,0.339,0.1539,0.0219,0.0171,0.473,0.111
CodeT5-Full,Reveal,bce/acc,6,0.2674,0.1394,0.3427,0.1537,0.0753,0.0354,0.243,0.127
CodeT5-Full,Reveal,cb_focal/f1,6,0.319,0.1566,0.3299,0.1523,0.0109,0.0092,0.453,0.033
GraphCodeBERT,Reveal,bce/acc,6,0.2722,0.1392,0.3482,0.1514,0.076,0.0327,0.217,0.064
GraphCodeBERT,Reveal,cb_focal/f1,6,0.339,0.1447,0.3491,0.1533,0.0101,0.0179,0.503,0.039
NatGen,Reveal,bce/acc,6,0.2638,0.1249,0.3461,0.1472,0.0822,0.0478,0.203,0.064
NatGen,Reveal,cb_focal/f1,6,0.3327,0.1538,0.3434,0.1523,0.0107,0.009,0.45,0.045
LineVul,Reveal,bce/acc,6,0.0834,0.0787,0.2231,0.1321,0.1397,0.137,0.217,0.128
LineVul,Reveal,cb_focal/f1,6,0.2889,0.127,0.3217,0.1375,0.0327,0.016,0.553,0.136
Gradient Boosting,Reveal,bce/acc,3,0.316,0.0067,0.4483,0.0202,0.1324,0.0197,0.22,0.053
Gradient Boosting,Reveal,cb_focal/f1,3,0.316,0.0067,0.4483,0.0202,0.1324,0.0197,0.22,0.053
CodeBERT,VulDeepecker,bce/acc,3,0.9571,0.002,0.9587,0.0015,0.0016,0.0011,0.58,0.317
CodeBERT,VulDeepecker,cb_focal/f1,3,0.9554,0.0033,0.9577,0.0011,0.0023,0.0022,0.613,0.095
CodeT5,VulDeepecker,bce/acc,3,0.9535,0.0014,0.9548,0.0019,0.0014,0.0005,0.587,0.095
CodeT5,VulDeepecker,cb_focal/f1,3,0.9546,0.0019,0.9561,0.002,0.0015,0.001,0.553,0.012
CodeT5-Full,VulDeepecker,bce/acc,3,0.9562,0.0023,0.9578,0.0032,0.0016,0.001,0.513,0.163
CodeT5-Full,VulDeepecker,cb_focal/f1,3,0.9541,0.0017,0.9566,0.0009,0.0024,0.0023,0.58,0.04
GraphCodeBERT,VulDeepecker,bce/acc,3,0.9564,0.0013,0.9576,0.0009,0.0012,0.0006,0.66,0.156
GraphCodeBERT,VulDeepecker,cb_focal/f1,3,0.955,0.0003,0.9558,0.0013,0.0008,0.0013,0.487,0.023
NatGen,VulDeepecker,bce/acc,3,0.9541,0.0014,0.9554,0.0015,0.0013,0.0009,0.56,0.191
NatGen,VulDeepecker,cb_focal/f1,3,0.9558,0.0016,0.9572,0.0014,0.0014,0.0008,0.613,0.031
LineVul,VulDeepecker,bce/acc,3,0.9235,0.002,0.9251,0.0024,0.0016,0.0009,0.167,0.099
LineVul,VulDeepecker,cb_focal/f1,3,0.9244,0.0035,0.9262,0.0031,0.0017,0.0009,0.533,0.083
Gradient Boosting,VulDeepecker,bce/acc,3,0.9531,0.0053,0.9548,0.0051,0.0017,0.0009,0.48,0.053
Gradient Boosting,VulDeepecker,cb_focal/f1,3,0.9531,0.0053,0.9548,0.0051,0.0017,0.0009,0.48,0.053
